Id,SalePrice
1461,125624.02050000001
1462,159062.4855
1463,191655.66300000003
1464,205943.83800000005
1465,193470.05700000003
1466,172582.092
1467,181754.25
1468,166257.33150000003
1469,181224.2565
1470,122146.653
1471,193451.9895
1472,96142.5105
1473,98989.38450000001
1474,146851.5
1475,109386.7455
1476,372563.7615
1477,255832.7895
1478,288512.5845
1479,279817.24500000005
1480,505619.8995
1481,349204.20450000005
1482,219281.745
1483,189561.6435
1484,178053.8895
1485,190603.68300000002
1486,199837.0275
1487,338001.89550000004
1488,243784.2165
1489,204992.52000000002
1490,245121.17700000003
1491,199877.4675
1492,93782.06400000001
1493,170889.054
1494,285783.42000000004
1495,272229.0885
1496,241098.654
1497,189066.1485
1498,177376.4775
1499,169245.84
1500,174267.426
1501,184470.2415
1502,147341.07
1503,277447.2915
1504,236338.122
1505,229000.16850000003
1506,179530.026
1507,240788.0685
1508,211295.00100000002
1509,158952.57150000002
1510,149119.15050000002
1511,152124.195
1512,171305.2605
1513,140458.22400000002
1514,157222.30950000003
1515,191517.3
1516,152288.637
1517,168392.65800000002
1518,126978.11099999999
1519,219552.852
1520,136574.4075
1521,136142.397
1522,169683.50550000003
1523,123042.13500000001
1524,127887.23700000001
1525,118669.011
1526,110557.96800000001
1527,103075.0425
1528,138602.271
1529,158585.4765
1530,172990.005
1531,109291.1925
1532,99273.91800000002
1533,148324.71600000001
1534,128710.54350000001
1535,157409.56200000003
1536,114442.473
1537,62031.06300000001
1538,161491.51350000003
1539,194090.8335
1540,99752.43000000001
1541,137044.0845
1542,145360.1685
1543,201415.383
1544,85119.74250000001
1545,113203.4535
1546,140904.255
1547,142356.3495
1548,143400.2085
1549,123009.3105
1550,141678.579
1551,112117.96800000002
1552,141963.378
1553,161657.9205
1554,112962.86550000001
1555,164103.024
1556,93532.12950000001
1557,107918.80500000001
1558,100735.86600000001
1559,81650.44200000001
1560,149502.79200000002
1561,128827.149
1562,135310.12950000004
1563,120277.12800000001
1564,159547.491
1565,150436.4445
1566,233788.40850000002
1567,72874.293
1568,236859.59700000004
1569,152022.43050000002
1570,139631.4375
1571,125045.15400000001
1572,146846.1135
1573,228194.652
1574,110164.68149999999
1575,210664.668
1576,245032.725
1577,195357.5415
1578,146777.823
1579,150052.8255
1580,193447.28100000002
1581,152552.4645
1582,128008.19400000002
1583,314896.7265
1584,229518.68100000004
1585,143816.92200000002
1586,68829.3135
1587,93927.15
1588,147914.007
1589,99436.04250000001
1590,130867.149
1591,92810.4885
1592,117676.065
1593,132579.71550000002
1594,127538.8635
1595,116102.766
1596,229032.12300000002
1597,192643.2705
1598,229137.84600000002
1599,162943.28250000003
1600,163616.23200000002
1601,61548.375
1602,117930.59700000001
1603,79189.77600000001
1604,268304.4915
1605,231919.212
1606,172202.51549999998
1607,167235.64800000002
1608,215234.87550000002
1609,191802.19500000004
1610,162646.14299999998
1611,135559.76700000002
1612,166243.18349999998
1613,167988.3345
1614,129594.69750000001
1615,91828.64700000001
1616,73759.1355
1617,94262.691
1618,128219.74350000001
1619,143271.7905
1620,150215.9895
1621,142983.9345
1622,139357.8585
1623,264967.1145
1624,214114.74750000003
1625,124332.43950000001
1626,156941.01900000003
1627,190204.13100000002
1628,273795.42750000005
1629,189541.83150000003
1630,342784.386
1631,221581.263
1632,245824.74600000004
1633,177431.62350000002
1634,187616.055
1635,179703.8985
1636,154756.34100000001
1637,202977.15000000002
1638,183854.2215
1639,185223.078
1640,245915.184
1641,167164.77000000002
1642,240188.11650000003
1643,223756.13700000005
1644,238603.27800000002
1645,205111.43250000002
1646,160683.5535
1647,152239.0005
1648,132219.9255
1649,139879.491
1650,112464.72900000002
1651,117765.43200000002
1652,95410.36050000001
1653,105238.52250000002
1654,145537.9365
1655,144481.9365
1656,142577.343
1657,148632.573
1658,145958.271
1659,120692.21250000001
1660,157824.64800000002
1661,432256.1145
1662,393300.411
1663,378260.43750000006
1664,476690.895
1665,307761.0165
1666,304001.47500000003
1667,395476.56
1668,338330.97900000005
1669,311895.9195
1670,343704.3435
1671,258189.33000000002
1672,422645.1645
1673,299070.32700000005
1674,250140.027
1675,207455.9325
1676,202134.41400000002
1677,222520.29750000002
1678,424832.64600000007
1679,374738.661
1680,330039.3825
1681,247737.72000000003
1682,289389.663
1683,186619.71450000003
1684,187681.347
1685,186757.60350000003
1686,183092.691
1687,171858.81900000002
1688,199092.75449999998
1689,200980.95450000002
1690,203296.4265
1691,185612.022
1692,253183.746
1693,183313.131
1694,187640.26200000002
1695,168126.73650000003
1696,273809.61600000004
1697,176535.62250000003
1698,341120.835
1699,319065.27900000004
1700,243860.325
1701,248737.62
1702,252966.087
1703,257821.25550000003
1704,285648.591
1705,234749.1105
1706,349508.28450000007
1707,223868.3715
1708,211864.782
1709,283182.9195
1710,238006.25999999998
1711,274589.99850000005
1712,268107.99450000003
1713,287366.1525
1714,231721.266
1715,212071.95
1716,194440.4115
1717,183931.88400000002
1718,150720.15899999999
1719,205243.7685
1720,248232.52800000002
1721,171501.28500000003
1722,129071.46900000001
1723,158933.403
1724,226737.543
1725,233655.7245
1726,196597.27200000003
1727,159575.9055
1728,182023.50900000002
1729,173264.47350000002
1730,148947.43050000002
1731,118259.90100000001
1732,132054.6705
1733,116347.49550000002
1734,119127.55350000001
1735,126518.5965
1736,119051.037
1737,293588.106
1738,241145.25750000004
1739,243312.63450000001
1740,243381.7215
1741,196283.94000000003
1742,179666.11050000004
1743,182664.7005
1744,285702.615
1745,214964.38050000003
1746,169971.6495
1747,228564.96300000005
1748,224425.36500000002
1749,153481.056
1750,120440.53950000001
1751,232493.835
1752,120863.12550000001
1753,147384.9045
1754,186712.80000000002
1755,163691.2965
1756,132684.75600000002
1757,122635.359
1758,143676.3825
1759,163219.374
1760,166907.892
1761,140239.578
1762,180717.25050000002
1763,170722.38300000003
1764,117917.9445
1765,149369.628
1766,183390.579
1767,221875.5645
1768,148090.4595
1769,166803.6195
1770,147175.911
1771,130294.6125
1772,138065.244
1773,134410.893
1774,135078.516
1775,139163.04450000002
1776,132267.9885
1777,119223.0585
1778,136443.054
1779,119006.019
1780,180272.79450000002
1781,129487.72650000002
1782,91739.619
1783,144649.3005
1784,109999.26450000002
1785,125367.807
1786,139868.36700000003
1787,161526.363
1788,58151.76750000001
1789,97036.3095
1790,76259.08050000001
1791,164974.2045
1792,161938.74300000002
1793,127402.905
1794,150493.5105
1795,132612.225
1796,119475.64500000002
1797,111839.09100000001
1798,127931.17500000002
